fips,month,cases,county,year,diffs
45001,Apr 2020,430,Abbeville,2020,27.0
45001,Apr 2021,75231,Abbeville,2021,130.0
45001,Aug 2020,11082,Abbeville,2020,136.0
45001,Aug 2021,86177,Abbeville,2021,365.0
45001,Dec 2020,35084,Abbeville,2020,308.0
45001,Feb 2021,58234,Abbeville,2021,392.0
45001,Jan 2021,46891,Abbeville,2021,568.0
45001,Jul 2020,5959,Abbeville,2020,169.0
45001,Jul 2021,80836,Abbeville,2021,46.0
45001,Jun 2020,2187,Abbeville,2020,71.0
45001,Jun 2021,77960,Abbeville,2021,2.0
45001,Mar 2020,32,Abbeville,2020,4.0
45001,Mar 2021,72427,Abbeville,2021,192.0
45001,May 2020,1080,Abbeville,2020,11.0
45001,May 2021,79939,Abbeville,2021,40.0
45001,Nov 2020,26305,Abbeville,2020,166.0
45001,Oct 2020,21806,Abbeville,2020,210.0
45001,Oct 2021,70481,Abbeville,2021,189.0
45001,Sep 2020,15286,Abbeville,2020,173.0
45001,Sep 2021,100132,Abbeville,2021,594.0
22001,Apr 2020,3066,Acadia,2020,91.0
22001,Apr 2021,191202,Acadia,2021,185.0
22001,Aug 2020,82440,Acadia,2020,478.0
22001,Aug 2021,264155,Acadia,2021,1948.0
22001,Dec 2020,141781,Acadia,2020,1104.0
22001,Feb 2021,167167,Acadia,2021,268.0
22001,Jan 2021,170861,Acadia,2021,727.0
22001,Jul 2020,49484,Acadia,2020,1453.0
22001,Jul 2021,217043,Acadia,2021,592.0
22001,Jun 2020,18342,Acadia,2020,460.0
22001,Jun 2021,202410,Acadia,2021,167.0
22001,Mar 2020,85,Acadia,2020,39.0
22001,Mar 2021,191885,Acadia,2021,219.0
22001,May 2020,7229,Acadia,2020,288.0
22001,May 2021,203538,Acadia,2021,158.0
22001,Nov 2020,107102,Acadia,2020,809.0
22001,Oct 2020,94873,Acadia,2020,200.0
22001,Oct 2021,196299,Acadia,2021,140.0
22001,Sep 2020,86894,Acadia,2020,160.0
22001,Sep 2021,298654,Acadia,2021,910.0
51001,Apr 2020,1880,Accomack,2020,257.0
51001,Apr 2021,82780,Accomack,2021,101.0
51001,Aug 2020,34590,Accomack,2020,71.0
51001,Aug 2021,96234,Accomack,2021,412.0
51001,Dec 2020,47215,Accomack,2020,352.0
51001,Feb 2021,70158,Accomack,2021,260.0
51001,Jan 2021,64478,Accomack,2021,644.0
51001,Jul 2020,32599,Accomack,2020,32.0
51001,Jul 2021,89456,Accomack,2021,56.0
51001,Jun 2020,30048,Accomack,2020,133.0
51001,Jun 2021,85997,Accomack,2021,16.0
51001,Mar 2020,28,Accomack,2020,7.0
51001,Mar 2021,82373,Accomack,2021,107.0
51001,May 2020,19109,Accomack,2020,645.0
51001,May 2021,87914,Accomack,2021,46.0
51001,Nov 2020,38155,Accomack,2020,123.0
51001,Oct 2020,37147,Accomack,2020,41.0
51001,Oct 2021,74192,Accomack,2021,227.0
51001,Sep 2020,34867,Accomack,2020,37.0
51001,Sep 2021,106539,Accomack,2021,448.0
16001,Apr 2020,16177,Ada,2020,486.0
16001,Apr 2021,1514511,Ada,2021,2405.0
16001,Aug 2020,303150,Ada,2020,3342.0
16001,Aug 2021,1799586,Ada,2021,5547.0
16001,Dec 2020,1007571,Ada,2020,12596.0
16001,Feb 2021,1282080,Ada,2021,2232.0
16001,Jan 2021,1299651,Ada,2021,6066.0
16001,Jul 2020,157829,Ada,2020,5665.0
16001,Jul 2021,1682725,Ada,2021,1741.0
16001,Jun 2020,34598,Ada,2020,1357.0
16001,Jun 2021,1598093,Ada,2021,785.0
16001,Mar 2020,795,Ada,2020,195.0
16001,Mar 2021,1488579,Ada,2021,2490.0
16001,May 2020,23629,Ada,2020,131.0
16001,May 2021,1620797,Ada,2021,1190.0
16001,Nov 2020,647760,Ada,2020,8495.0
16001,Oct 2020,465314,Ada,2020,4197.0
16001,Oct 2021,1425957,Ada,2021,6970.0
16001,Sep 2020,363824,Ada,2020,1953.0
16001,Sep 2021,1964592,Ada,2021,10335.0
19001,Apr 2020,30,Adair,2020,0.0
21001,Apr 2020,1210,Adair,2020,81.0
29001,Apr 2020,327,Adair,2020,10.0
40001,Apr 2020,1074,Adair,2020,60.0
19001,Apr 2021,25347,Adair,2021,23.0
21001,Apr 2021,54384,Adair,2021,67.0
29001,Apr 2021,72519,Adair,2021,54.0
40001,Apr 2021,94769,Adair,2021,19.0
19001,Aug 2020,1136,Adair,2020,29.0
21001,Aug 2020,7489,Adair,2020,68.0
29001,Aug 2020,5674,Adair,2020,97.0
40001,Aug 2020,11552,Adair,2020,164.0
19001,Aug 2021,28260,Adair,2021,17.0
21001,Aug 2021,70191,Adair,2021,483.0
29001,Aug 2021,92251,Adair,2021,435.0
40001,Aug 2021,118477,Adair,2021,663.0
19001,Dec 2020,16315,Adair,2020,165.0
21001,Dec 2020,36448,Adair,2020,316.0
29001,Dec 2020,46014,Adair,2020,566.0
40001,Dec 2020,47977,Adair,2020,631.0
19001,Feb 2021,21329,Adair,2021,100.0
21001,Feb 2021,45125,Adair,2021,145.0
29001,Feb 2021,63074,Adair,2021,159.0
40001,Feb 2021,84541,Adair,2021,243.0
19001,Jan 2021,20807,Adair,2021,100.0
21001,Jan 2021,44410,Adair,2021,241.0
29001,Jan 2021,60738,Adair,2021,379.0
40001,Jan 2021,74848,Adair,2021,983.0
19001,Jul 2020,564,Adair,2020,5.0
21001,Jul 2020,5152,Adair,2020,82.0
29001,Jul 2020,3433,Adair,2020,41.0
40001,Jul 2020,5431,Adair,2020,168.0
19001,Jul 2021,27515,Adair,2021,25.0
21001,Jul 2021,61777,Adair,2021,114.0
29001,Jul 2021,81775,Adair,2021,212.0
40001,Jul 2021,102640,Adair,2021,242.0
19001,Jun 2020,343,Adair,2020,6.0
21001,Jun 2020,3140,Adair,2020,23.0
29001,Jun 2020,2365,Adair,2020,36.0
40001,Jun 2020,3014,Adair,2020,28.0
19001,Jun 2021,26213,Adair,2021,4.0
21001,Jun 2021,58611,Adair,2021,12.0
29001,Jun 2021,74843,Adair,2021,74.0
40001,Jun 2021,96028,Adair,2021,38.0
19001,Mar 2020,15,Adair,2020,1.0
29001,Mar 2020,18,Adair,2020,2.0
40001,Mar 2020,22,Adair,2020,4.0
19001,Mar 2021,25599,Adair,2021,31.0
21001,Mar 2021,53810,Adair,2021,97.0
29001,Mar 2021,73085,Adair,2021,97.0
40001,Mar 2021,97239,Adair,2021,55.0
19001,May 2020,150,Adair,2020,8.0
21001,May 2020,2799,Adair,2020,16.0
29001,May 2020,820,Adair,2020,43.0
40001,May 2020,2340,Adair,2020,23.0
19001,May 2021,26853,Adair,2021,12.0
21001,May 2021,58849,Adair,2021,104.0
29001,May 2021,76479,Adair,2021,20.0
40001,May 2021,98588,Adair,2021,18.0
19001,Nov 2020,10368,Adair,2020,221.0
21001,Nov 2020,23633,Adair,2020,399.0
29001,Nov 2020,27637,Adair,2020,594.0
40001,Nov 2020,31419,Adair,2020,389.0
19001,Oct 2020,3917,Adair,2020,144.0
21001,Oct 2020,13827,Adair,2020,254.0
29001,Oct 2020,14528,Adair,2020,235.0
40001,Oct 2020,22459,Adair,2020,211.0
19001,Oct 2021,19286,Adair,2021,48.0
21001,Oct 2021,62603,Adair,2021,184.0
29001,Oct 2021,67441,Adair,2021,87.0
40001,Oct 2021,90852,Adair,2021,89.0
19001,Sep 2020,1806,Adair,2020,27.0
21001,Sep 2020,8942,Adair,2020,55.0
29001,Sep 2020,9305,Adair,2020,140.0
40001,Sep 2020,16490,Adair,2020,192.0
19001,Sep 2021,28559,Adair,2021,72.0
21001,Sep 2021,85992,Adair,2021,625.0
29001,Sep 2021,101444,Adair,2021,303.0
40001,Sep 2021,136095,Adair,2021,598.0
08001,Apr 2020,24400,Adams,2020,1400.0
16003,Apr 2020,52,Adams,2020,2.0
17001,Apr 2020,703,Adams,2020,38.0
18001,Apr 2020,149,Adams,2020,6.0
28001,Apr 2020,1988,Adams,2020,123.0
31001,Apr 2020,2185,Adams,2020,161.0
39001,Apr 2020,85,Adams,2020,4.0
42001,Apr 2020,2041,Adams,2020,128.0
53001,Apr 2020,1100,Adams,2020,40.0
55001,Apr 2020,86,Adams,2020,4.0
08001,Apr 2021,1638192,Adams,2021,4922.0
16003,Apr 2021,10102,Adams,2021,3.0
17001,Apr 2021,245540,Adams,2021,246.0
18001,Apr 2021,103033,Adams,2021,58.0
19003,Apr 2021,9825,Adams,2021,17.0
28001,Apr 2021,73969,Adams,2021,138.0
31001,Apr 2021,85918,Adams,2021,87.0
38001,Apr 2021,8064,Adams,2021,1.0
39001,Apr 2021,68475,Adams,2021,87.0
42001,Apr 2021,259282,Adams,2021,1001.0
53001,Apr 2021,61302,Adams,2021,96.0
55001,Apr 2021,55453,Adams,2021,95.0
08001,Aug 2020,211599,Adams,2020,1622.0
16003,Aug 2020,674,Adams,2020,7.0
17001,Aug 2020,19174,Adams,2020,378.0
18001,Aug 2020,4083,Adams,2020,113.0
19003,Aug 2020,557,Adams,2020,7.0
28001,Aug 2020,20902,Adams,2020,226.0
31001,Aug 2020,11462,Adams,2020,71.0
38001,Aug 2020,107,Adams,2020,2.0
39001,Aug 2020,2233,Adams,2020,40.0
42001,Aug 2020,16877,Adams,2020,180.0
53001,Aug 2020,15368,Adams,2020,260.0
55001,Aug 2020,2860,Adams,2020,47.0
08001,Aug 2021,2027244,Adams,2021,3880.0
16003,Aug 2021,11545,Adams,2021,32.0
17001,Aug 2021,332490,Adams,2021,1883.0
18001,Aug 2021,119477,Adams,2021,528.0
19003,Aug 2021,11235,Adams,2021,18.0
28001,Aug 2021,116039,Adams,2021,563.0
31001,Aug 2021,99678,Adams,2021,10.0
38001,Aug 2021,8703,Adams,2021,21.0
39001,Aug 2021,82761,Adams,2021,411.0
42001,Aug 2021,314756,Adams,2021,723.0
53001,Aug 2021,74901,Adams,2021,282.0
55001,Aug 2021,64387,Adams,2021,192.0
08001,Dec 2020,1114726,Adams,2020,10614.0
16003,Dec 2020,5230,Adams,2020,152.0
17001,Dec 2020,175313,Adams,2020,1767.0
18001,Dec 2020,71454,Adams,2020,815.0
19003,Dec 2020,6834,Adams,2020,95.0
28001,Dec 2020,50757,Adams,2020,357.0
31001,Dec 2020,64312,Adams,2020,627.0
38001,Dec 2020,5837,Adams,2020,15.0
39001,Dec 2020,34623,Adams,2020,490.0
42001,Dec 2020,101354,Adams,2020,2529.0
53001,Dec 2020,46587,Adams,2020,280.0
55001,Dec 2020,40507,Adams,2020,313.0
08001,Feb 2021,1343044,Adams,2021,2853.0
16003,Feb 2021,8993,Adams,2021,20.0
17001,Feb 2021,220995,Adams,2021,300.0
18001,Feb 2021,88701,Adams,2021,145.0
19003,Feb 2021,8816,Adams,2021,9.0
28001,Feb 2021,64023,Adams,2021,130.0
31001,Feb 2021,74835,Adams,2021,88.0
38001,Feb 2021,7394,Adams,2021,7.0
39001,Feb 2021,58433,Adams,2021,203.0
42001,Feb 2021,194603,Adams,2021,709.0
53001,Feb 2021,52402,Adams,2021,114.0
55001,Feb 2021,47767,Adams,2021,79.0
08001,Jan 2021,1366161,Adams,2021,6172.0
16003,Jan 2021,9151,Adams,2021,49.0
17001,Jan 2021,225315,Adams,2021,1121.0
18001,Jan 2021,90139,Adams,2021,471.0
19003,Jan 2021,9025,Adams,2021,42.0
28001,Jan 2021,62669,Adams,2021,411.0
31001,Jan 2021,76738,Adams,2021,338.0
38001,Jan 2021,7005,Adams,2021,69.0
39001,Jan 2021,51012,Adams,2021,585.0
42001,Jan 2021,176265,Adams,2021,2007.0
53001,Jan 2021,53005,Adams,2021,171.0
55001,Jan 2021,48374,Adams,2021,233.0
08001,Jul 2020,154716,Adams,2020,1772.0
16003,Jul 2020,423,Adams,2020,7.0
17001,Jul 2020,7071,Adams,2020,306.0
18001,Jul 2020,1801,Adams,2020,29.0
19003,Jul 2020,322,Adams,2020,7.0
28001,Jul 2020,12553,Adams,2020,302.0
31001,Jul 2020,9760,Adams,2020,45.0
38001,Jul 2020,8,Adams,2020,2.0
39001,Jul 2020,1016,Adams,2020,32.0
42001,Jul 2020,12451,Adams,2020,123.0
53001,Jul 2020,8250,Adams,2020,240.0
55001,Jul 2020,1415,Adams,2020,50.0
08001,Jul 2021,1945366,Adams,2021,1649.0
16003,Jul 2021,10738,Adams,2021,15.0
17001,Jul 2021,284717,Adams,2021,948.0
18001,Jul 2021,110214,Adams,2021,94.0
19003,Jul 2021,10737,Adams,2021,2.0
28001,Jul 2021,100667,Adams,2021,285.0
31001,Jul 2021,98892,Adams,2021,25.0
38001,Jul 2021,8417,Adams,2021,2.0
39001,Jul 2021,76390,Adams,2021,90.0
42001,Jul 2021,301829,Adams,2021,151.0
53001,Jul 2021,70647,Adams,2021,33.0
55001,Jul 2021,61272,Adams,2021,26.0
08001,Jun 2020,113100,Adams,2020,927.0
16003,Jun 2020,195,Adams,2020,8.0
17001,Jun 2020,1628,Adams,2020,43.0
18001,Jun 2020,906,Adams,2020,31.0
19003,Jun 2020,218,Adams,2020,1.0
28001,Jun 2020,6766,Adams,2020,64.0
31001,Jun 2020,8390,Adams,2020,24.0
39001,Jun 2020,461,Adams,2020,11.0
42001,Jun 2020,8869,Adams,2020,88.0
53001,Jun 2020,2873,Adams,2020,71.0
55001,Jun 2020,268,Adams,2020,15.0
08001,Jun 2021,1846179,Adams,2021,1175.0
16003,Jun 2021,10255,Adams,2021,2.0
17001,Jun 2021,260374,Adams,2021,192.0
18001,Jun 2021,105457,Adams,2021,14.0
19003,Jun 2021,10343,Adams,2021,4.0
28001,Jun 2021,91764,Adams,2021,126.0
31001,Jun 2021,95399,Adams,2021,3.0
38001,Jun 2021,8113,Adams,2021,1.0
39001,Jun 2021,72847,Adams,2021,26.0
42001,Jun 2021,289037,Adams,2021,115.0
53001,Jun 2021,66703,Adams,2021,73.0
55001,Jun 2021,58848,Adams,2021,19.0
08001,Mar 2020,853,Adams,2020,185.0
16003,Mar 2020,1,Adams,2020,1.0
17001,Mar 2020,15,Adams,2020,2.0
18001,Mar 2020,22,Adams,2020,1.0
28001,Mar 2020,45,Adams,2020,10.0
31001,Mar 2020,21,Adams,2020,3.0
42001,Mar 2020,84,Adams,2020,9.0
53001,Mar 2020,37,Adams,2020,7.0
08001,Mar 2021,1575506,Adams,2021,2943.0
16003,Mar 2021,10317,Adams,2021,6.0
17001,Mar 2021,249681,Adams,2021,73.0
18001,Mar 2021,103550,Adams,2021,167.0
19003,Mar 2021,9883,Adams,2021,3.0
28001,Mar 2021,73919,Adams,2021,87.0
31001,Mar 2021,85520,Adams,2021,101.0
38001,Mar 2021,8266,Adams,2021,2.0
39001,Mar 2021,68292,Adams,2021,90.0
42001,Mar 2021,237198,Adams,2021,839.0
53001,Mar 2021,60514,Adams,2021,82.0
55001,Mar 2021,54800,Adams,2021,55.0
08001,May 2020,77475,Adams,2020,1673.0
16003,May 2020,93,Adams,2020,0.0
17001,May 2020,1305,Adams,2020,4.0
18001,May 2020,311,Adams,2020,8.0
19003,May 2020,68,Adams,2020,7.0
28001,May 2020,5285,Adams,2020,66.0
31001,May 2020,7443,Adams,2020,106.0
39001,May 2020,217,Adams,2020,6.0
42001,May 2020,5848,Adams,2020,114.0
53001,May 2020,1591,Adams,2020,16.0
55001,May 2020,124,Adams,2020,0.0
08001,May 2021,1841810,Adams,2021,3653.0
16003,May 2021,10550,Adams,2021,2.0
17001,May 2021,262886,Adams,2021,289.0
18001,May 2021,108119,Adams,2021,50.0
19003,May 2021,10524,Adams,2021,7.0
28001,May 2021,88049,Adams,2021,431.0
31001,May 2021,92547,Adams,2021,279.0
38001,May 2021,8360,Adams,2021,1.0
39001,May 2021,74088,Adams,2021,78.0
