,population,state_name,month,year_2019,date_2019,consumption_2019,scaled_consumption_2019,year_2020,date_2020,consumption_2020,scaled_consumption_2020,change,group
12,1377529,New Hampshire,1,2019,January 2019,6317849,4.586363699058241,2020,January 2020,6119180,4.442142415876544,-3.144567082878999,Positive
13,1377529,New Hampshire,2,2019,February 2019,5063902,3.6760765109119298,2020,February 2020,5381991,3.906989253946741,6.281499918442339,Positive
14,1377529,New Hampshire,3,2019,March 2019,5984134,4.344107456176967,2020,March 2020,5603000,4.067427981552475,-6.3690752914289686,Positive
15,1377529,New Hampshire,4,2019,April 2019,5798426,4.209295049323826,2020,April 2020,2355949,1.7102717982706717,-59.36916328672643,Positive
16,1377529,New Hampshire,5,2019,May 2019,5067876,3.6789613866568325,2020,May 2020,5207311,3.7801824861763347,2.7513498751745304,Positive
17,1377529,New Hampshire,6,2019,June 2019,6107173,4.433426083951772,2020,June 2020,5202572,3.7767422682208505,-14.812107009249614,Positive
18,1377529,New Hampshire,7,2019,July 2019,7108605,5.1604031566667565,2020,July 2020,6925708,5.027631360210928,-2.5728958072645756,Positive
19,1377529,New Hampshire,8,2019,August 2019,6693741,4.859237809149572,2020,August 2020,6078114,4.41233106526251,-9.197054382594128,Positive
20,1377529,New Hampshire,9,2019,September 2019,5527756,4.0128055380322305,2020,September 2020,5774909,4.192223176426776,4.471127162631635,Positive
21,1377529,New Hampshire,10,2019,October 2019,6531848,4.7417136045774715,2020,October 2020,5794141,4.206184407007039,-11.294001330098311,Positive
22,1377529,New Hampshire,11,2019,November 2019,5601227,4.066140894311481,2020,November 2020,5424935,3.9381639152424377,-3.1473818147345214,Positive
23,1377529,New Hampshire,12,2019,December 2019,6303844,4.576196943948186,2020,December 2020,5534507,4.01770634229842,-12.204251881867636,Positive
48,4505836,Kentucky,1,2019,January 2019,28556458,6.337660314312372,2020,January 2020,23351216,5.18243806476756,-18.22789787164781,Positive
49,4505836,Kentucky,2,2019,February 2019,22292966,4.94757598811852,2020,February 2020,20714674,4.5972987032817,-7.07977574630491,Positive
50,4505836,Kentucky,3,2019,March 2019,23745800,5.270009827255142,2020,March 2020,16359795,3.63080125419567,-31.104469000833834,Positive
51,4505836,Kentucky,4,2019,April 2019,16896156,3.749838209823882,2020,April 2020,14434380,3.203485435333199,-14.570035930065986,Positive
52,4505836,Kentucky,5,2019,May 2019,22709163,5.039944418749373,2020,May 2020,18207224,4.040809297098252,-19.824328179774835,Positive
53,4505836,Kentucky,6,2019,June 2019,25322732,5.6199852813107265,2020,June 2020,24112232,5.351333692571146,-4.780289899209928,Positive
54,4505836,Kentucky,7,2019,July 2019,28530481,6.331895124456372,2020,July 2020,29911451,6.638379870017462,4.840331994402758,Positive
55,4505836,Kentucky,8,2019,August 2019,28201734,6.258934856927771,2020,August 2020,27107113,6.016000804290258,-3.8813960872051343,Positive
56,4505836,Kentucky,9,2019,September 2019,27521158,6.107891632096686,2020,September 2020,19408981,4.307520513396404,-29.476147042940564,Positive
57,4505836,Kentucky,10,2019,October 2019,21103432,4.683577475966724,2020,October 2020,17541472,3.893056027782636,-16.878581644919176,Positive
58,4505836,Kentucky,11,2019,November 2019,19297868,4.2828607166350485,2020,November 2020,18343266,4.071001696466538,-4.946670792856496,Positive
59,4505836,Kentucky,12,2019,December 2019,23039063,5.113160576638831,2020,December 2020,24664218,5.473838373167599,7.053911003238282,Positive
60,6785528,Indiana,1,2019,January 2019,40370691,5.949528319682713,2020,January 2020,30717321,4.526887369708002,-23.91182751863227,Positive
61,6785528,Indiana,2,2019,February 2019,33578205,4.948502902058617,2020,February 2020,28354189,4.178626777459322,-15.557758373325791,Positive
62,6785528,Indiana,3,2019,March 2019,36589944,5.392350307890558,2020,March 2020,27822349,4.100248204708609,-23.96176118771868,Positive
63,6785528,Indiana,4,2019,April 2019,32904205,4.84917385942553,2020,April 2020,25208441,3.715030134722014,-23.388390632747395,Positive
64,6785528,Indiana,5,2019,May 2019,30965777,4.5635029433229075,2020,May 2020,24061481,3.545999810184263,-22.29653723851334,Positive
65,6785528,Indiana,6,2019,June 2019,29257182,4.3117030833857,2020,June 2020,30459217,4.488849946533269,4.1085125696658,Positive
66,6785528,Indiana,7,2019,July 2019,40552399,5.976307075882673,2020,July 2020,36645816,5.400584302356426,-9.633420207766253,Positive
67,6785528,Indiana,8,2019,August 2019,34326290,5.0587500338956675,2020,August 2020,35465890,5.226695697077663,3.3199043648468853,Positive
68,6785528,Indiana,9,2019,September 2019,32248065,4.752476889049754,2020,September 2020,29156616,4.2968824238880154,-9.586463559906617,Positive
69,6785528,Indiana,10,2019,October 2019,30605264,4.5103732531941505,2020,October 2020,28948912,4.266272573040742,-5.411984029936811,Positive
70,6785528,Indiana,11,2019,November 2019,36396518,5.363844641124464,2020,November 2020,29025274,4.277526229351643,-20.252607680767703,Positive
71,6785528,Indiana,12,2019,December 2019,32226988,4.749370719566701,2020,December 2020,33962154,5.005086413319641,5.38420158905325,Positive
72,6910840,Tennessee,1,2019,January 2019,28767137,4.162610768010835,2020,January 2020,28438174,4.115009752794161,-1.143537502532838,Positive
73,6910840,Tennessee,2,2019,February 2019,24058985,3.4813401844059477,2020,February 2020,27669243,4.00374527553814,15.00586163547631,Positive
74,6910840,Tennessee,3,2019,March 2019,29569274,4.278680160443593,2020,March 2020,26399612,3.8200294030826933,-10.719444785827342,Positive
75,6910840,Tennessee,4,2019,April 2019,22833858,3.3040640501010006,2020,April 2020,19439205,2.8128570477684334,-14.866751820914365,Positive
