,state,population,state_name,consumption_2019,consumption_2020,change
0,MA,7029917,Massachusetts,21468893,10818849,-49.60686142503947
1,IN,6785528,Indiana,100459926,77092271,-23.26067311656192
2,KY,4505836,Kentucky,63351119,49001399,-22.65109160897379
3,NH,1377529,New Hampshire,16850436,13166260,-21.863980255466387
4,TN,6910840,Tennessee,81169427,65510802,-19.29128438962616
5,NM,2117522,New Mexico,28915642,30552601,5.661153918007423
6,WA,7705281,Washington,105412405,112528423,6.75064571385123
7,NV,3104614,Nevada,34315648,36878143,7.467424190853106
8,RI,1097379,Rhode Island,7012105,7847014,11.90668137456584
9,VA,8631393,Virginia,83944356,98683899,17.558706388789258
