,year,month,state_name,population,date,consumption,scaled_consumption
44,2019,1,Vermont,643077,January 2019,53390.666666666664,0.08302375402427184
93,2019,2,Vermont,643077,February 2019,50104.88888888889,0.07791429158388326
142,2019,3,Vermont,643077,March 2019,51903.444444444445,0.08071108816587197
191,2019,4,Vermont,643077,April 2019,53392.444444444445,0.08302651851091618
240,2019,5,Vermont,643077,May 2019,53215.77777777778,0.08275179765063559
289,2019,6,Vermont,643077,June 2019,39321.11111111111,0.06114526116018939
338,2019,7,Vermont,643077,July 2019,35005.0,0.05443360592899451
387,2019,8,Vermont,643077,August 2019,27653.777777777777,0.043002280874261986
436,2019,9,Vermont,643077,September 2019,25333.11111111111,0.03939358912091571
485,2019,10,Vermont,643077,October 2019,32500.222222222223,0.05053861702754448
534,2019,11,Vermont,643077,November 2019,37177.666666666664,0.057812154169200054
583,2019,12,Vermont,643077,December 2019,49846.0,0.07751171321630225
632,2020,1,Vermont,643077,January 2020,44955.666666666664,0.06990712879898778
681,2020,2,Vermont,643077,February 2020,40965.0,0.06370154740412112
730,2020,3,Vermont,643077,March 2020,54207.88888888889,0.0842945539785887
779,2020,4,Vermont,643077,April 2020,53746.0,0.08357630579230792
828,2020,5,Vermont,643077,May 2020,54274.444444444445,0.08439804944733592
877,2020,6,Vermont,643077,June 2020,29374.333333333332,0.04567778560473059
926,2020,7,Vermont,643077,July 2020,34797.555555555555,0.05411102489368389
975,2020,8,Vermont,643077,August 2020,26689.555555555555,0.04150289243054184
1024,2020,9,Vermont,643077,September 2020,18707.555555555555,0.029090692958316896
1073,2020,10,Vermont,643077,October 2020,37601.333333333336,0.05847096589262769
1122,2020,11,Vermont,643077,November 2020,38638.77777777778,0.06008421663001131
1171,2020,12,Vermont,643077,December 2020,45243.555555555555,0.07035480285495446
1220,2021,1,Vermont,643077,January 2021,37981.0,0.05906135657160807
1269,2021,2,Vermont,643077,February 2021,36388.77777777778,0.056585413220777266
1318,2021,3,Vermont,643077,March 2021,50767.0,0.07894389007848204
1367,2021,4,Vermont,643077,April 2021,39315.333333333336,0.06113627657859531
1416,2021,5,Vermont,643077,May 2021,39698.444444444445,0.061732023450449085
1465,2021,6,Vermont,643077,June 2021,39820.77777777778,0.061922254687662256
1514,2021,7,Vermont,643077,July 2021,39518.11111111111,0.061451600836464546
1563,2021,8,Vermont,643077,August 2021,39694.444444444445,0.061725803355499334
1612,2021,9,Vermont,643077,September 2021,35617.11111111111,0.055385453236721435
8,2019,1,District of Columbia,689545,January 2019,6053.4,0.00877883241847885
57,2019,2,District of Columbia,689545,February 2019,5023.2,0.007284803747398647
106,2019,3,District of Columbia,689545,March 2019,6008.0,0.008712991900456098
155,2019,4,District of Columbia,689545,April 2019,5568.4,0.0080754700563415
204,2019,5,District of Columbia,689545,May 2019,5068.8,0.007350934311756303
253,2019,6,District of Columbia,689545,June 2019,6204.8,0.008998397493999668
302,2019,7,District of Columbia,689545,July 2019,5723.6,0.008300546012225454
351,2019,8,District of Columbia,689545,August 2019,5931.4,0.008601904154188631
400,2019,9,District of Columbia,689545,September 2019,5843.2,0.008473993720496849
