,YEAR,MONTH,STATE,energy,energy_2019,change,month_year,state,state_name,population
4,2020,1,CA,13894378,14124214,-0.01627248071998909,Jan 2020,California,California,-39538223.0
42,2020,1,TX,37446869,38718324,-0.03283858567845034,Jan 2020,Texas,Texas,-29145505.0
8,2020,1,FL,18698080,18388924,0.016812076660929154,Jan 2020,Florida,Florida,-21538187.0
33,2020,1,NY,11239096,11615895,-0.03243822365818561,Jan 2020,New York,New York,-20201249.0
37,2020,1,PA,20764805,21069354,-0.014454595997580182,Jan 2020,Pennsylvania,Pennsylvania,-13002700.0
13,2020,1,IL,15344739,17608524,-0.12856188286991005,Jan 2020,Illinois,Illinois,-12812508.0
34,2020,1,OH,11424792,11515081,-0.007840934857514246,Jan 2020,Ohio,Ohio,-11799448.0
9,2020,1,GA,9703510,10811646,-0.10249466177490459,Jan 2020,Georgia,Georgia,-10711908.0
26,2020,1,NC,10917050,11765585,-0.0721200858265866,Jan 2020,North Carolina,North Carolina,-10439388.0
21,2020,1,MI,10714321,10553593,0.015229694758931864,Jan 2020,Michigan,Michigan,-10077331.0
30,2020,1,NJ,5454996,5926222,-0.0795154147110925,Jan 2020,New Jersey,New Jersey,-9288994.0
45,2020,1,VA,9629808,8903311,0.08159851992140901,Jan 2020,Virginia,Virginia,-8631393.0
47,2020,1,WA,10311727,9441799,0.09213583131773934,Jan 2020,Washington,Washington,-7705281.0
3,2020,1,AZ,8550692,9034832,-0.053585943822751766,Jan 2020,Arizona,Arizona,-7151502.0
18,2020,1,MA,1756146,2292099,-0.23382628760799598,Jan 2020,Massachusetts,Massachusetts,-7029917.0
41,2020,1,TN,7109543,7191784,-0.011435410184733022,Jan 2020,Tennessee,Tennessee,-6910840.0
14,2020,1,IN,7679330,10092672,-0.23911824341462795,Jan 2020,Indiana,Indiana,-6785528.0
19,2020,1,MD,2826249,3555003,-0.20499391983635457,Jan 2020,Maryland,Maryland,-6177224.0
23,2020,1,MO,7035317,8012122,-0.12191589194473075,Jan 2020,Missouri,Missouri,-6154913.0
48,2020,1,WI,5579473,5913641,-0.05650799566629087,Jan 2020,Wisconsin,Wisconsin,-5893718.0
5,2020,1,CO,4859407,5052923,-0.038297832759375115,Jan 2020,Colorado,Colorado,-5773714.0
22,2020,1,MN,5313657,5367348,-0.010003264181864115,Jan 2020,Minnesota,Minnesota,-5706494.0
39,2020,1,SC,8750284,9047901,-0.03289348546143465,Jan 2020,South Carolina,South Carolina,-5118425.0
1,2020,1,AL,11566431,12465965,-0.0721591950562993,Jan 2020,Alabama,Alabama,-5024279.0
17,2020,1,LA,7982495,7816799,0.021197423651292555,Jan 2020,Louisiana,Louisiana,-4657757.0
16,2020,1,KY,5837804,7139115,-0.18227903598695355,Jan 2020,Kentucky,Kentucky,-4505836.0
36,2020,1,OR,6044877,5587043,0.08194567323000736,Jan 2020,Oregon,Oregon,-4237256.0
35,2020,1,OK,7150174,7201241,-0.0070914166044435956,Jan 2020,Oklahoma,Oklahoma,-3959353.0
6,2020,1,CT,3760637,3440014,0.09320398114658836,Jan 2020,Connecticut,Connecticut,-3605944.0
44,2020,1,UT,3179559,3732186,-0.14807059455236155,Jan 2020,Utah,Utah,-3271616.0
11,2020,1,IA,5088396,5746758,-0.11456233236200307,Jan 2020,Iowa,Iowa,-3190369.0
32,2020,1,NV,3086087,3092459,-0.0020604961941290086,Jan 2020,Nevada,Nevada,-3104614.0
2,2020,1,AR,4446681,6039707,-0.2637588214130255,Jan 2020,Arkansas,Arkansas,-3011524.0
24,2020,1,MS,5880141,5132777,0.14560616991542785,Jan 2020,Mississippi,Mississippi,-2961279.0
15,2020,1,KS,4364737,4377633,-0.0029458842255620787,Jan 2020,Kansas,Kansas,-2937880.0
31,2020,1,NM,3160923,2917357,0.08348858230240591,Jan 2020,New Mexico,New Mexico,-2117522.0
28,2020,1,NE,3575315,3330481,0.0735131051640889,Jan 2020,Nebraska,Nebraska,-1961504.0
12,2020,1,ID,1511289,1545605,-0.022202309128140762,Jan 2020,Idaho,Idaho,-1839106.0
49,2020,1,WV,4179204,6797577,-0.3851921059518708,Jan 2020,West Virginia,West Virginia,-1793716.0
10,2020,1,HI,793114,771148,0.028484804473330672,Jan 2020,Hawaii,Hawaii,-1455271.0
29,2020,1,NH,1529795,1579463,-0.031446130741904055,Jan 2020,New Hampshire,New Hampshire,-1377529.0
20,2020,1,ME,922368,1115229,-0.17293398934209925,Jan 2020,Maine,Maine,-1362359.0
38,2020,1,RI,513531,429730,0.19500849370534987,Jan 2020,Rhode Island,Rhode Island,-1097379.0
25,2020,1,MT,2162168,2571145,-0.15906415235235663,Jan 2020,Montana,Montana,-1084225.0
7,2020,1,DE,338235,291837,0.1589860093134181,Jan 2020,Delaware,Delaware,-989948.0
40,2020,1,SD,1376830,1404766,-0.019886586093342238,Jan 2020,South Dakota,South Dakota,-886667.0
27,2020,1,ND,3962512,3944454,0.0045780734164982025,Jan 2020,North Dakota,North Dakota,-779094.0
0,2020,1,AK,616446,584720,0.05425844848816527,Jan 2020,Alaska,Alaska,-733391.0
46,2020,1,VT,202300,240258,-0.15798849570045534,Jan 2020,Vermont,Vermont,-643077.0
50,2020,1,WY,3585026,4143632,-0.13481071678179915,Jan 2020,Wyoming,Wyoming,-576851.0
55,2020,2,CA,13110268,14225027,-0.07836603754776704,Feb 2020,California,California,-39538223.0
93,2020,2,TX,35740773,33959651,0.05244818328668925,Feb 2020,Texas,Texas,-29145505.0
59,2020,2,FL,17748863,16408917,0.08165962445906698,Feb 2020,Florida,Florida,-21538187.0
84,2020,2,NY,10337850,10226836,0.010855165761922848,Feb 2020,New York,New York,-20201249.0
88,2020,2,PA,18262539,18245440,0.0009371656698879281,Feb 2020,Pennsylvania,Pennsylvania,-13002700.0
64,2020,2,IL,14158842,14813102,-0.044167656443599726,Feb 2020,Illinois,Illinois,-12812508.0
85,2020,2,OH,10328484,10193198,0.013272184058427982,Feb 2020,Ohio,Ohio,-11799448.0
60,2020,2,GA,9105876,8375317,0.08722762374248043,Feb 2020,Georgia,Georgia,-10711908.0
77,2020,2,NC,10266625,9177524,0.11867046057302602,Feb 2020,North Carolina,North Carolina,-10439388.0
72,2020,2,MI,9166379,9700616,-0.055072481994957845,Feb 2020,Michigan,Michigan,-10077331.0
81,2020,2,NJ,4837398,5563634,-0.13053266983414077,Feb 2020,New Jersey,New Jersey,-9288994.0
96,2020,2,VA,8689300,8233187,0.05539932470864563,Feb 2020,Virginia,Virginia,-8631393.0
98,2020,2,WA,10281089,7970276,0.2899288556632167,Feb 2020,Washington,Washington,-7705281.0
54,2020,2,AZ,7538303,8420858,-0.10480582857471293,Feb 2020,Arizona,Arizona,-7151502.0
69,2020,2,MA,1503717,2046281,-0.2651463801892311,Feb 2020,Massachusetts,Massachusetts,-7029917.0
92,2020,2,TN,6917311,6014747,0.15005851451440932,Feb 2020,Tennessee,Tennessee,-6910840.0
