,Total Doses,Pfizer Doses,Moderna Doses,Johnson & Johnson Doses,Booster Doses,Date
140,5497.0,4722.0,379.0,381.0,0.0,2020-12-15
141,34183.0,33298.0,442.0,410.0,0.0,2020-12-16
142,121553.0,120525.0,519.0,428.0,0.0,2020-12-17
143,268091.0,266921.0,734.0,335.0,0.0,2020-12-18
144,348602.0,347388.0,786.0,323.0,0.0,2020-12-19
145,408861.0,407394.0,1021.0,323.0,0.0,2020-12-20
146,567083.0,565289.0,1360.0,263.0,0.0,2020-12-21
147,722831.0,713681.0,8785.0,179.0,0.0,2020-12-22
148,855223.0,817092.0,37798.0,141.0,0.0,2020-12-23
149,843875.0,781108.0,62564.0,36.0,0.0,2020-12-24
150,704568.0,641022.0,63366.0,30.0,0.0,2020-12-25
151,670251.0,589960.0,80097.0,33.0,0.0,2020-12-26
152,639727.0,547300.0,92239.0,30.0,0.0,2020-12-27
153,627866.0,482608.0,145059.0,48.0,0.0,2020-12-28
154,633583.0,423270.0,210080.0,48.0,0.0,2020-12-29
155,673754.0,404955.0,268548.0,33.0,0.0,2020-12-30
156,691582.0,388571.0,302756.0,36.0,0.0,2020-12-31
157,703082.0,390888.0,311468.0,326.0,0.0,2021-01-01
158,714552.0,393543.0,320274.0,329.0,0.0,2021-01-02
159,704737.0,387459.0,316517.0,349.0,0.0,2021-01-03
160,704558.0,371842.0,331911.0,364.0,0.0,2021-01-04
161,718516.0,374047.0,343663.0,382.0,0.0,2021-01-05
162,751383.0,389986.0,360571.0,399.0,0.0,2021-01-06
163,954077.0,525357.0,427784.0,414.0,0.0,2021-01-07
164,1277852.0,723366.0,553910.0,148.0,0.0,2021-01-08
165,1360287.0,771513.0,588192.0,160.0,0.0,2021-01-09
166,1415962.0,806330.0,608995.0,167.0,0.0,2021-01-10
167,1600218.0,948345.0,651244.0,158.0,0.0,2021-01-11
168,1782057.0,1067416.0,714003.0,147.0,0.0,2021-01-12
169,1923872.0,1133103.0,790136.0,136.0,0.0,2021-01-13
170,2019143.0,1120686.0,897853.0,130.0,0.0,2021-01-14
171,2122864.0,1076289.0,1045965.0,145.0,0.0,2021-01-15
172,2237198.0,1081057.0,1155493.0,147.0,0.0,2021-01-16
173,2310016.0,1086839.0,1222604.0,126.0,0.0,2021-01-17
174,2251960.0,1009826.0,1241588.0,111.0,0.0,2021-01-18
175,2339086.0,1026799.0,1311690.0,115.0,0.0,2021-01-19
176,2473761.0,1092851.0,1380246.0,131.0,0.0,2021-01-20
177,2633499.0,1180986.0,1451838.0,152.0,0.0,2021-01-21
178,2719615.0,1233416.0,1485526.0,128.0,0.0,2021-01-22
179,2812951.0,1299915.0,1512342.0,120.0,0.0,2021-01-23
180,2853394.0,1338103.0,1514591.0,114.0,0.0,2021-01-24
181,3039235.0,1401100.0,1637389.0,128.0,0.0,2021-01-25
182,3125737.0,1432351.0,1692627.0,132.0,0.0,2021-01-26
183,3189727.0,1447217.0,1741747.0,119.0,0.0,2021-01-27
184,3232241.0,1475873.0,1755578.0,101.0,0.0,2021-01-28
185,3278852.0,1539164.0,1738876.0,113.0,0.0,2021-01-29
186,3322565.0,1562283.0,1759499.0,107.0,0.0,2021-01-30
187,3355180.0,1596767.0,1757591.0,116.0,0.0,2021-01-31
188,3411192.0,1630056.0,1779782.0,392.0,0.0,2021-02-01
189,3464240.0,1613535.0,1849255.0,413.0,0.0,2021-02-02
190,3553617.0,1633266.0,1918793.0,434.0,0.0,2021-02-03
191,3674664.0,1668545.0,2004490.0,455.0,0.0,2021-02-04
192,3871129.0,1719176.0,2150153.0,479.0,0.0,2021-02-05
193,3967497.0,1777122.0,2188534.0,541.0,0.0,2021-02-06
194,3957040.0,1789418.0,2165772.0,562.0,0.0,2021-02-07
195,4012511.0,1830566.0,2180530.0,308.0,0.0,2021-02-08
196,4083866.0,1901940.0,2180480.0,331.0,0.0,2021-02-09
197,4197237.0,1976302.0,2219319.0,340.0,0.0,2021-02-10
198,4309464.0,2073369.0,2234481.0,368.0,0.0,2021-02-11
199,4383917.0,2113940.0,2268401.0,399.0,0.0,2021-02-12
200,4414200.0,2118744.0,2293844.0,352.0,0.0,2021-02-13
201,4499325.0,2128514.0,2369221.0,343.0,0.0,2021-02-14
202,4373470.0,2043420.0,2328453.0,411.0,0.0,2021-02-15
203,4495205.0,2095308.0,2398336.0,408.0,0.0,2021-02-16
204,4530533.0,2129703.0,2399424.0,485.0,0.0,2021-02-17
205,4560717.0,2170141.0,2389139.0,487.0,0.0,2021-02-18
206,4508964.0,2264527.0,2243028.0,457.0,0.0,2021-02-19
207,4480601.0,2339580.0,2137891.0,475.0,0.0,2021-02-20
208,4459519.0,2414972.0,2041323.0,499.0,0.0,2021-02-21
209,4552755.0,2579282.0,1970272.0,445.0,0.0,2021-02-22
210,4510585.0,2599870.0,1907547.0,443.0,0.0,2021-02-23
211,4614996.0,2659319.0,1952552.0,384.0,0.0,2021-02-24
212,4798115.0,2726178.0,2068771.0,365.0,0.0,2021-02-25
213,5145387.0,2796854.0,2345225.0,397.0,0.0,2021-02-26
214,5473483.0,2882178.0,2589616.0,501.0,0.0,2021-02-27
215,5637012.0,2922115.0,2713204.0,518.0,0.0,2021-02-28
216,5896211.0,2985688.0,2907284.0,1567.0,0.0,2021-03-01
217,6112856.0,3075150.0,3034094.0,1749.0,0.0,2021-03-02
