,Indicator,Group,State,Subgroup,Time Period End Date,Value
19,Symptoms of Depressive Disorder,By State,Alabama,Alabama,2020-05,18.6
20,Symptoms of Depressive Disorder,By State,Alaska,Alaska,2020-05,19.2
21,Symptoms of Depressive Disorder,By State,Arizona,Arizona,2020-05,22.4
22,Symptoms of Depressive Disorder,By State,Arkansas,Arkansas,2020-05,26.6
23,Symptoms of Depressive Disorder,By State,California,California,2020-05,25.4
24,Symptoms of Depressive Disorder,By State,Colorado,Colorado,2020-05,22.0
25,Symptoms of Depressive Disorder,By State,Connecticut,Connecticut,2020-05,24.4
26,Symptoms of Depressive Disorder,By State,Delaware,Delaware,2020-05,21.1
27,Symptoms of Depressive Disorder,By State,District of Columbia,District of Columbia,2020-05,26.4
28,Symptoms of Depressive Disorder,By State,Florida,Florida,2020-05,22.5
29,Symptoms of Depressive Disorder,By State,Georgia,Georgia,2020-05,25.6
30,Symptoms of Depressive Disorder,By State,Hawaii,Hawaii,2020-05,20.0
31,Symptoms of Depressive Disorder,By State,Idaho,Idaho,2020-05,20.6
32,Symptoms of Depressive Disorder,By State,Illinois,Illinois,2020-05,23.3
33,Symptoms of Depressive Disorder,By State,Indiana,Indiana,2020-05,26.4
34,Symptoms of Depressive Disorder,By State,Iowa,Iowa,2020-05,16.5
35,Symptoms of Depressive Disorder,By State,Kansas,Kansas,2020-05,22.1
36,Symptoms of Depressive Disorder,By State,Kentucky,Kentucky,2020-05,23.2
37,Symptoms of Depressive Disorder,By State,Louisiana,Louisiana,2020-05,28.1
38,Symptoms of Depressive Disorder,By State,Maine,Maine,2020-05,19.5
39,Symptoms of Depressive Disorder,By State,Maryland,Maryland,2020-05,20.9
40,Symptoms of Depressive Disorder,By State,Massachusetts,Massachusetts,2020-05,25.9
41,Symptoms of Depressive Disorder,By State,Michigan,Michigan,2020-05,25.5
42,Symptoms of Depressive Disorder,By State,Minnesota,Minnesota,2020-05,20.4
43,Symptoms of Depressive Disorder,By State,Mississippi,Mississippi,2020-05,22.9
44,Symptoms of Depressive Disorder,By State,Missouri,Missouri,2020-05,21.0
45,Symptoms of Depressive Disorder,By State,Montana,Montana,2020-05,18.2
46,Symptoms of Depressive Disorder,By State,Nebraska,Nebraska,2020-05,19.1
47,Symptoms of Depressive Disorder,By State,Nevada,Nevada,2020-05,23.6
48,Symptoms of Depressive Disorder,By State,New Hampshire,New Hampshire,2020-05,19.5
49,Symptoms of Depressive Disorder,By State,New Jersey,New Jersey,2020-05,23.6
50,Symptoms of Depressive Disorder,By State,New Mexico,New Mexico,2020-05,22.4
51,Symptoms of Depressive Disorder,By State,New York,New York,2020-05,28.7
52,Symptoms of Depressive Disorder,By State,North Carolina,North Carolina,2020-05,21.1
53,Symptoms of Depressive Disorder,By State,North Dakota,North Dakota,2020-05,17.0
54,Symptoms of Depressive Disorder,By State,Ohio,Ohio,2020-05,21.2
55,Symptoms of Depressive Disorder,By State,Oklahoma,Oklahoma,2020-05,20.8
56,Symptoms of Depressive Disorder,By State,Oregon,Oregon,2020-05,22.5
57,Symptoms of Depressive Disorder,By State,Pennsylvania,Pennsylvania,2020-05,24.7
58,Symptoms of Depressive Disorder,By State,Rhode Island,Rhode Island,2020-05,24.5
59,Symptoms of Depressive Disorder,By State,South Carolina,South Carolina,2020-05,21.6
60,Symptoms of Depressive Disorder,By State,South Dakota,South Dakota,2020-05,17.5
61,Symptoms of Depressive Disorder,By State,Tennessee,Tennessee,2020-05,22.2
62,Symptoms of Depressive Disorder,By State,Texas,Texas,2020-05,24.4
63,Symptoms of Depressive Disorder,By State,Utah,Utah,2020-05,22.9
64,Symptoms of Depressive Disorder,By State,Vermont,Vermont,2020-05,20.7
65,Symptoms of Depressive Disorder,By State,Virginia,Virginia,2020-05,21.5
66,Symptoms of Depressive Disorder,By State,Washington,Washington,2020-05,22.1
67,Symptoms of Depressive Disorder,By State,West Virginia,West Virginia,2020-05,23.4
68,Symptoms of Depressive Disorder,By State,Wisconsin,Wisconsin,2020-05,22.0
69,Symptoms of Depressive Disorder,By State,Wyoming,Wyoming,2020-05,18.9
89,Symptoms of Anxiety Disorder,By State,Alabama,Alabama,2020-05,25.6
90,Symptoms of Anxiety Disorder,By State,Alaska,Alaska,2020-05,27.7
91,Symptoms of Anxiety Disorder,By State,Arizona,Arizona,2020-05,32.3
92,Symptoms of Anxiety Disorder,By State,Arkansas,Arkansas,2020-05,33.7
93,Symptoms of Anxiety Disorder,By State,California,California,2020-05,30.8
94,Symptoms of Anxiety Disorder,By State,Colorado,Colorado,2020-05,32.6
95,Symptoms of Anxiety Disorder,By State,Connecticut,Connecticut,2020-05,34.9
96,Symptoms of Anxiety Disorder,By State,Delaware,Delaware,2020-05,29.9
97,Symptoms of Anxiety Disorder,By State,District of Columbia,District of Columbia,2020-05,31.4
98,Symptoms of Anxiety Disorder,By State,Florida,Florida,2020-05,32.6
99,Symptoms of Anxiety Disorder,By State,Georgia,Georgia,2020-05,31.9
100,Symptoms of Anxiety Disorder,By State,Hawaii,Hawaii,2020-05,32.3
101,Symptoms of Anxiety Disorder,By State,Idaho,Idaho,2020-05,26.9
102,Symptoms of Anxiety Disorder,By State,Illinois,Illinois,2020-05,31.1
103,Symptoms of Anxiety Disorder,By State,Indiana,Indiana,2020-05,31.8
104,Symptoms of Anxiety Disorder,By State,Iowa,Iowa,2020-05,22.5
105,Symptoms of Anxiety Disorder,By State,Kansas,Kansas,2020-05,26.4
106,Symptoms of Anxiety Disorder,By State,Kentucky,Kentucky,2020-05,31.6
107,Symptoms of Anxiety Disorder,By State,Louisiana,Louisiana,2020-05,34.4
108,Symptoms of Anxiety Disorder,By State,Maine,Maine,2020-05,29.5
109,Symptoms of Anxiety Disorder,By State,Maryland,Maryland,2020-05,27.7
110,Symptoms of Anxiety Disorder,By State,Massachusetts,Massachusetts,2020-05,37.0
111,Symptoms of Anxiety Disorder,By State,Michigan,Michigan,2020-05,32.5
112,Symptoms of Anxiety Disorder,By State,Minnesota,Minnesota,2020-05,28.5
113,Symptoms of Anxiety Disorder,By State,Mississippi,Mississippi,2020-05,30.3
114,Symptoms of Anxiety Disorder,By State,Missouri,Missouri,2020-05,30.4
