,Indicator,State,Time Period End Date,Value
159,Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,2020-05,30.3
160,Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,2020-05,31.5
161,Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,2020-05,36.4
162,Symptoms of Anxiety Disorder or Depressive Disorder,Arkansas,2020-05,38.0
163,Symptoms of Anxiety Disorder or Depressive Disorder,California,2020-05,37.4
164,Symptoms of Anxiety Disorder or Depressive Disorder,Colorado,2020-05,35.9
165,Symptoms of Anxiety Disorder or Depressive Disorder,Connecticut,2020-05,40.2
166,Symptoms of Anxiety Disorder or Depressive Disorder,Delaware,2020-05,34.7
167,Symptoms of Anxiety Disorder or Depressive Disorder,District of Columbia,2020-05,37.6
168,Symptoms of Anxiety Disorder or Depressive Disorder,Florida,2020-05,36.8
169,Symptoms of Anxiety Disorder or Depressive Disorder,Georgia,2020-05,36.2
170,Symptoms of Anxiety Disorder or Depressive Disorder,Hawaii,2020-05,37.0
171,Symptoms of Anxiety Disorder or Depressive Disorder,Idaho,2020-05,33.3
172,Symptoms of Anxiety Disorder or Depressive Disorder,Illinois,2020-05,36.6
173,Symptoms of Anxiety Disorder or Depressive Disorder,Indiana,2020-05,37.8
174,Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,2020-05,28.2
175,Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,2020-05,32.5
176,Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,2020-05,36.4
177,Symptoms of Anxiety Disorder or Depressive Disorder,Louisiana,2020-05,38.9
178,Symptoms of Anxiety Disorder or Depressive Disorder,Maine,2020-05,34.3
179,Symptoms of Anxiety Disorder or Depressive Disorder,Maryland,2020-05,32.9
180,Symptoms of Anxiety Disorder or Depressive Disorder,Massachusetts,2020-05,40.6
181,Symptoms of Anxiety Disorder or Depressive Disorder,Michigan,2020-05,39.4
182,Symptoms of Anxiety Disorder or Depressive Disorder,Minnesota,2020-05,32.4
183,Symptoms of Anxiety Disorder or Depressive Disorder,Mississippi,2020-05,34.5
184,Symptoms of Anxiety Disorder or Depressive Disorder,Missouri,2020-05,35.2
185,Symptoms of Anxiety Disorder or Depressive Disorder,Montana,2020-05,27.3
186,Symptoms of Anxiety Disorder or Depressive Disorder,Nebraska,2020-05,28.6
187,Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,2020-05,34.8
188,Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,2020-05,34.8
189,Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,2020-05,37.6
190,Symptoms of Anxiety Disorder or Depressive Disorder,New Mexico,2020-05,34.6
191,Symptoms of Anxiety Disorder or Depressive Disorder,New York,2020-05,41.4
192,Symptoms of Anxiety Disorder or Depressive Disorder,North Carolina,2020-05,34.6
193,Symptoms of Anxiety Disorder or Depressive Disorder,North Dakota,2020-05,27.7
194,Symptoms of Anxiety Disorder or Depressive Disorder,Ohio,2020-05,35.1
195,Symptoms of Anxiety Disorder or Depressive Disorder,Oklahoma,2020-05,34.1
196,Symptoms of Anxiety Disorder or Depressive Disorder,Oregon,2020-05,36.8
197,Symptoms of Anxiety Disorder or Depressive Disorder,Pennsylvania,2020-05,35.1
198,Symptoms of Anxiety Disorder or Depressive Disorder,Rhode Island,2020-05,34.4
199,Symptoms of Anxiety Disorder or Depressive Disorder,South Carolina,2020-05,33.3
200,Symptoms of Anxiety Disorder or Depressive Disorder,South Dakota,2020-05,25.6
201,Symptoms of Anxiety Disorder or Depressive Disorder,Tennessee,2020-05,33.4
202,Symptoms of Anxiety Disorder or Depressive Disorder,Texas,2020-05,34.9
203,Symptoms of Anxiety Disorder or Depressive Disorder,Utah,2020-05,34.7
204,Symptoms of Anxiety Disorder or Depressive Disorder,Vermont,2020-05,33.9
205,Symptoms of Anxiety Disorder or Depressive Disorder,Virginia,2020-05,33.7
206,Symptoms of Anxiety Disorder or Depressive Disorder,Washington,2020-05,35.0
207,Symptoms of Anxiety Disorder or Depressive Disorder,West Virginia,2020-05,34.3
208,Symptoms of Anxiety Disorder or Depressive Disorder,Wisconsin,2020-05,31.1
209,Symptoms of Anxiety Disorder or Depressive Disorder,Wyoming,2020-05,31.0
369,Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,2020-05,30.6
370,Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,2020-05,35.7
371,Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,2020-05,38.4
372,Symptoms of Anxiety Disorder or Depressive Disorder,Arkansas,2020-05,33.0
373,Symptoms of Anxiety Disorder or Depressive Disorder,California,2020-05,34.4
374,Symptoms of Anxiety Disorder or Depressive Disorder,Colorado,2020-05,32.2
375,Symptoms of Anxiety Disorder or Depressive Disorder,Connecticut,2020-05,36.0
376,Symptoms of Anxiety Disorder or Depressive Disorder,Delaware,2020-05,31.6
377,Symptoms of Anxiety Disorder or Depressive Disorder,District of Columbia,2020-05,40.6
378,Symptoms of Anxiety Disorder or Depressive Disorder,Florida,2020-05,33.6
379,Symptoms of Anxiety Disorder or Depressive Disorder,Georgia,2020-05,34.3
380,Symptoms of Anxiety Disorder or Depressive Disorder,Hawaii,2020-05,27.1
381,Symptoms of Anxiety Disorder or Depressive Disorder,Idaho,2020-05,29.2
382,Symptoms of Anxiety Disorder or Depressive Disorder,Illinois,2020-05,41.8
383,Symptoms of Anxiety Disorder or Depressive Disorder,Indiana,2020-05,34.9
384,Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,2020-05,26.1
385,Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,2020-05,28.0
386,Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,2020-05,37.7
387,Symptoms of Anxiety Disorder or Depressive Disorder,Louisiana,2020-05,42.8
388,Symptoms of Anxiety Disorder or Depressive Disorder,Maine,2020-05,32.9
389,Symptoms of Anxiety Disorder or Depressive Disorder,Maryland,2020-05,34.6
390,Symptoms of Anxiety Disorder or Depressive Disorder,Massachusetts,2020-05,31.0
391,Symptoms of Anxiety Disorder or Depressive Disorder,Michigan,2020-05,33.4
392,Symptoms of Anxiety Disorder or Depressive Disorder,Minnesota,2020-05,27.2
393,Symptoms of Anxiety Disorder or Depressive Disorder,Mississippi,2020-05,48.4
394,Symptoms of Anxiety Disorder or Depressive Disorder,Missouri,2020-05,41.3
395,Symptoms of Anxiety Disorder or Depressive Disorder,Montana,2020-05,27.6
396,Symptoms of Anxiety Disorder or Depressive Disorder,Nebraska,2020-05,33.4
397,Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,2020-05,38.1
398,Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,2020-05,35.0
399,Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,2020-05,39.6
400,Symptoms of Anxiety Disorder or Depressive Disorder,New Mexico,2020-05,39.8
401,Symptoms of Anxiety Disorder or Depressive Disorder,New York,2020-05,36.9
402,Symptoms of Anxiety Disorder or Depressive Disorder,North Carolina,2020-05,28.1
403,Symptoms of Anxiety Disorder or Depressive Disorder,North Dakota,2020-05,28.6
404,Symptoms of Anxiety Disorder or Depressive Disorder,Ohio,2020-05,32.8
405,Symptoms of Anxiety Disorder or Depressive Disorder,Oklahoma,2020-05,31.0
406,Symptoms of Anxiety Disorder or Depressive Disorder,Oregon,2020-05,29.9
407,Symptoms of Anxiety Disorder or Depressive Disorder,Pennsylvania,2020-05,32.0
408,Symptoms of Anxiety Disorder or Depressive Disorder,Rhode Island,2020-05,33.8
409,Symptoms of Anxiety Disorder or Depressive Disorder,South Carolina,2020-05,33.1
410,Symptoms of Anxiety Disorder or Depressive Disorder,South Dakota,2020-05,29.8
411,Symptoms of Anxiety Disorder or Depressive Disorder,Tennessee,2020-05,34.7
412,Symptoms of Anxiety Disorder or Depressive Disorder,Texas,2020-05,35.9
413,Symptoms of Anxiety Disorder or Depressive Disorder,Utah,2020-05,30.4
414,Symptoms of Anxiety Disorder or Depressive Disorder,Vermont,2020-05,35.7
415,Symptoms of Anxiety Disorder or Depressive Disorder,Virginia,2020-05,30.6
416,Symptoms of Anxiety Disorder or Depressive Disorder,Washington,2020-05,35.0
417,Symptoms of Anxiety Disorder or Depressive Disorder,West Virginia,2020-05,39.0
418,Symptoms of Anxiety Disorder or Depressive Disorder,Wisconsin,2020-05,29.7
419,Symptoms of Anxiety Disorder or Depressive Disorder,Wyoming,2020-05,27.9
579,Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,2020-05,25.2
580,Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,2020-05,32.7
581,Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,2020-05,32.1
582,Symptoms of Anxiety Disorder or Depressive Disorder,Arkansas,2020-05,35.2
583,Symptoms of Anxiety Disorder or Depressive Disorder,California,2020-05,38.8
584,Symptoms of Anxiety Disorder or Depressive Disorder,Colorado,2020-05,33.1
585,Symptoms of Anxiety Disorder or Depressive Disorder,Connecticut,2020-05,33.9
586,Symptoms of Anxiety Disorder or Depressive Disorder,Delaware,2020-05,31.8
587,Symptoms of Anxiety Disorder or Depressive Disorder,District of Columbia,2020-05,37.3
588,Symptoms of Anxiety Disorder or Depressive Disorder,Florida,2020-05,33.5
589,Symptoms of Anxiety Disorder or Depressive Disorder,Georgia,2020-05,33.6
590,Symptoms of Anxiety Disorder or Depressive Disorder,Hawaii,2020-05,29.1
591,Symptoms of Anxiety Disorder or Depressive Disorder,Idaho,2020-05,27.6
592,Symptoms of Anxiety Disorder or Depressive Disorder,Illinois,2020-05,35.2
593,Symptoms of Anxiety Disorder or Depressive Disorder,Indiana,2020-05,37.3
594,Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,2020-05,23.8
595,Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,2020-05,31.1
596,Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,2020-05,35.5
597,Symptoms of Anxiety Disorder or Depressive Disorder,Louisiana,2020-05,34.2
598,Symptoms of Anxiety Disorder or Depressive Disorder,Maine,2020-05,34.2
599,Symptoms of Anxiety Disorder or Depressive Disorder,Maryland,2020-05,32.7
600,Symptoms of Anxiety Disorder or Depressive Disorder,Massachusetts,2020-05,32.0
601,Symptoms of Anxiety Disorder or Depressive Disorder,Michigan,2020-05,35.0
602,Symptoms of Anxiety Disorder or Depressive Disorder,Minnesota,2020-05,29.7
603,Symptoms of Anxiety Disorder or Depressive Disorder,Mississippi,2020-05,44.3
604,Symptoms of Anxiety Disorder or Depressive Disorder,Missouri,2020-05,35.4
605,Symptoms of Anxiety Disorder or Depressive Disorder,Montana,2020-05,29.7
606,Symptoms of Anxiety Disorder or Depressive Disorder,Nebraska,2020-05,26.2
607,Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,2020-05,36.9
608,Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,2020-05,28.8
609,Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,2020-05,39.3
610,Symptoms of Anxiety Disorder or Depressive Disorder,New Mexico,2020-05,37.4
611,Symptoms of Anxiety Disorder or Depressive Disorder,New York,2020-05,34.9
612,Symptoms of Anxiety Disorder or Depressive Disorder,North Carolina,2020-05,32.2
613,Symptoms of Anxiety Disorder or Depressive Disorder,North Dakota,2020-05,31.9
614,Symptoms of Anxiety Disorder or Depressive Disorder,Ohio,2020-05,33.9
615,Symptoms of Anxiety Disorder or Depressive Disorder,Oklahoma,2020-05,29.8
616,Symptoms of Anxiety Disorder or Depressive Disorder,Oregon,2020-05,31.7
617,Symptoms of Anxiety Disorder or Depressive Disorder,Pennsylvania,2020-05,30.0
618,Symptoms of Anxiety Disorder or Depressive Disorder,Rhode Island,2020-05,26.2
619,Symptoms of Anxiety Disorder or Depressive Disorder,South Carolina,2020-05,31.3
620,Symptoms of Anxiety Disorder or Depressive Disorder,South Dakota,2020-05,27.8
621,Symptoms of Anxiety Disorder or Depressive Disorder,Tennessee,2020-05,32.5
622,Symptoms of Anxiety Disorder or Depressive Disorder,Texas,2020-05,34.8
623,Symptoms of Anxiety Disorder or Depressive Disorder,Utah,2020-05,30.3
624,Symptoms of Anxiety Disorder or Depressive Disorder,Vermont,2020-05,29.6
625,Symptoms of Anxiety Disorder or Depressive Disorder,Virginia,2020-05,32.2
626,Symptoms of Anxiety Disorder or Depressive Disorder,Washington,2020-05,33.0
627,Symptoms of Anxiety Disorder or Depressive Disorder,West Virginia,2020-05,34.3
628,Symptoms of Anxiety Disorder or Depressive Disorder,Wisconsin,2020-05,28.0
629,Symptoms of Anxiety Disorder or Depressive Disorder,Wyoming,2020-05,28.0
789,Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,2020-05,28.8
790,Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,2020-05,36.4
791,Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,2020-05,35.5
792,Symptoms of Anxiety Disorder or Depressive Disorder,Arkansas,2020-05,33.8
793,Symptoms of Anxiety Disorder or Depressive Disorder,California,2020-05,36.2
794,Symptoms of Anxiety Disorder or Depressive Disorder,Colorado,2020-05,33.5
795,Symptoms of Anxiety Disorder or Depressive Disorder,Connecticut,2020-05,28.0
796,Symptoms of Anxiety Disorder or Depressive Disorder,Delaware,2020-05,31.1
797,Symptoms of Anxiety Disorder or Depressive Disorder,District of Columbia,2020-05,34.2
798,Symptoms of Anxiety Disorder or Depressive Disorder,Florida,2020-05,39.1
799,Symptoms of Anxiety Disorder or Depressive Disorder,Georgia,2020-05,37.5
800,Symptoms of Anxiety Disorder or Depressive Disorder,Hawaii,2020-05,26.6
801,Symptoms of Anxiety Disorder or Depressive Disorder,Idaho,2020-05,24.8
802,Symptoms of Anxiety Disorder or Depressive Disorder,Illinois,2020-05,35.6
803,Symptoms of Anxiety Disorder or Depressive Disorder,Indiana,2020-05,35.2
804,Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,2020-05,25.9
805,Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,2020-05,33.2
806,Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,2020-05,34.7
807,Symptoms of Anxiety Disorder or Depressive Disorder,Louisiana,2020-05,41.4
808,Symptoms of Anxiety Disorder or Depressive Disorder,Maine,2020-05,27.8
809,Symptoms of Anxiety Disorder or Depressive Disorder,Maryland,2020-05,31.6
810,Symptoms of Anxiety Disorder or Depressive Disorder,Massachusetts,2020-05,29.5
811,Symptoms of Anxiety Disorder or Depressive Disorder,Michigan,2020-05,32.8
812,Symptoms of Anxiety Disorder or Depressive Disorder,Minnesota,2020-05,26.1
813,Symptoms of Anxiety Disorder or Depressive Disorder,Mississippi,2020-05,37.8
814,Symptoms of Anxiety Disorder or Depressive Disorder,Missouri,2020-05,32.9
815,Symptoms of Anxiety Disorder or Depressive Disorder,Montana,2020-05,30.7
816,Symptoms of Anxiety Disorder or Depressive Disorder,Nebraska,2020-05,28.1
817,Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,2020-05,40.7
818,Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,2020-05,31.1
819,Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,2020-05,31.1
820,Symptoms of Anxiety Disorder or Depressive Disorder,New Mexico,2020-05,39.1
821,Symptoms of Anxiety Disorder or Depressive Disorder,New York,2020-05,34.4
822,Symptoms of Anxiety Disorder or Depressive Disorder,North Carolina,2020-05,32.3
823,Symptoms of Anxiety Disorder or Depressive Disorder,North Dakota,2020-05,28.1
824,Symptoms of Anxiety Disorder or Depressive Disorder,Ohio,2020-05,34.6
825,Symptoms of Anxiety Disorder or Depressive Disorder,Oklahoma,2020-05,32.8
826,Symptoms of Anxiety Disorder or Depressive Disorder,Oregon,2020-05,35.3
827,Symptoms of Anxiety Disorder or Depressive Disorder,Pennsylvania,2020-05,33.9
828,Symptoms of Anxiety Disorder or Depressive Disorder,Rhode Island,2020-05,33.8
829,Symptoms of Anxiety Disorder or Depressive Disorder,South Carolina,2020-05,32.2
830,Symptoms of Anxiety Disorder or Depressive Disorder,South Dakota,2020-05,36.3
831,Symptoms of Anxiety Disorder or Depressive Disorder,Tennessee,2020-05,33.1
832,Symptoms of Anxiety Disorder or Depressive Disorder,Texas,2020-05,37.7
833,Symptoms of Anxiety Disorder or Depressive Disorder,Utah,2020-05,31.9
834,Symptoms of Anxiety Disorder or Depressive Disorder,Vermont,2020-05,28.8
835,Symptoms of Anxiety Disorder or Depressive Disorder,Virginia,2020-05,33.1
836,Symptoms of Anxiety Disorder or Depressive Disorder,Washington,2020-05,31.8
837,Symptoms of Anxiety Disorder or Depressive Disorder,West Virginia,2020-05,37.9
838,Symptoms of Anxiety Disorder or Depressive Disorder,Wisconsin,2020-05,28.9
839,Symptoms of Anxiety Disorder or Depressive Disorder,Wyoming,2020-05,28.3
999,Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,2020-06,37.5
1000,Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,2020-06,31.6
1001,Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,2020-06,32.6
1002,Symptoms of Anxiety Disorder or Depressive Disorder,Arkansas,2020-06,39.0
1003,Symptoms of Anxiety Disorder or Depressive Disorder,California,2020-06,38.6
1004,Symptoms of Anxiety Disorder or Depressive Disorder,Colorado,2020-06,33.6
1005,Symptoms of Anxiety Disorder or Depressive Disorder,Connecticut,2020-06,35.1
1006,Symptoms of Anxiety Disorder or Depressive Disorder,Delaware,2020-06,30.3
1007,Symptoms of Anxiety Disorder or Depressive Disorder,District of Columbia,2020-06,33.0
1008,Symptoms of Anxiety Disorder or Depressive Disorder,Florida,2020-06,40.0
1009,Symptoms of Anxiety Disorder or Depressive Disorder,Georgia,2020-06,34.9
1010,Symptoms of Anxiety Disorder or Depressive Disorder,Hawaii,2020-06,26.1
1011,Symptoms of Anxiety Disorder or Depressive Disorder,Idaho,2020-06,31.8
1012,Symptoms of Anxiety Disorder or Depressive Disorder,Illinois,2020-06,37.0
1013,Symptoms of Anxiety Disorder or Depressive Disorder,Indiana,2020-06,36.2
1014,Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,2020-06,32.9
1015,Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,2020-06,32.0
1016,Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,2020-06,39.0
1017,Symptoms of Anxiety Disorder or Depressive Disorder,Louisiana,2020-06,36.3
1018,Symptoms of Anxiety Disorder or Depressive Disorder,Maine,2020-06,29.3
1019,Symptoms of Anxiety Disorder or Depressive Disorder,Maryland,2020-06,30.8
1020,Symptoms of Anxiety Disorder or Depressive Disorder,Massachusetts,2020-06,29.9
1021,Symptoms of Anxiety Disorder or Depressive Disorder,Michigan,2020-06,34.5
1022,Symptoms of Anxiety Disorder or Depressive Disorder,Minnesota,2020-06,30.0
1023,Symptoms of Anxiety Disorder or Depressive Disorder,Mississippi,2020-06,38.7
1024,Symptoms of Anxiety Disorder or Depressive Disorder,Missouri,2020-06,33.7
1025,Symptoms of Anxiety Disorder or Depressive Disorder,Montana,2020-06,28.6
1026,Symptoms of Anxiety Disorder or Depressive Disorder,Nebraska,2020-06,26.6
1027,Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,2020-06,34.2
