,month_year,workplaces_percent_change_from_baseline
0,Feb 2020,0.0
1,Mar 2020,-19.161290322580644
2,Apr 2020,-46.166666666666664
3,May 2020,-36.774193548387096
4,Jun 2020,-29.966666666666665
5,Jul 2020,-32.903225806451616
6,Aug 2020,-29.580645161290324
7,Sep 2020,-29.433333333333334
8,Oct 2020,-25.580645161290324
9,Nov 2020,-29.3
10,Dec 2020,-32.74193548387097
11,Jan 2021,-29.193548387096776
12,Feb 2021,-28.714285714285715
13,Mar 2021,-25.774193548387096
14,Apr 2021,-25.766666666666666
15,May 2021,-24.93548387096774
16,Jun 2021,-25.733333333333334
17,Jul 2021,-27.870967741935484
18,Aug 2021,-25.419354838709676
19,Sep 2021,-24.133333333333333
20,Oct 2021,-19.64516129032258
21,Nov 2021,-24.59259259259259
