sub_region_1,Apr 2020,Apr 2021,Aug 2020,Aug 2021,Dec 2020,Feb 2020,Feb 2021,Jan 2021,Jul 2020,Jul 2021,Jun 2020,Jun 2021,Mar 2020,Mar 2021,May 2020,May 2021,Nov 2020,Nov 2021,Oct 2020,Oct 2021,Sep 2020,Sep 2021
Alabama,-33.46923879040667,-15.939425587467364,-22.094283593170008,-17.183663115169963,-24.785822784810126,-0.04394426580921758,-18.556306306306308,-20.699691991786448,-25.302325581395348,-19.710166919575112,-20.877946568884234,-16.964509394572026,-11.712020460358056,-16.48938321536906,-24.902001026167266,-16.46205128205128,-21.733862433862434,-17.437174290677476,-18.30941475826972,-12.392948390393459,-21.306122448979593,-15.9828125
Alaska,-33.10126582278481,-15.336569579288026,-21.221153846153847,-17.676567656765677,-26.64741641337386,-0.6083916083916084,-20.208904109589042,-23.371875,-22.67391304347826,-20.33228840125392,-18.67628205128205,-20.187898089171973,-15.17684887459807,-18.85185185185185,-23.91167192429022,-18.727564102564102,-25.074675324675326,-21.741818181818182,-15.542857142857143,-15.917491749174918,-17.021367521367523,-17.76923076923077
Arizona,-37.45338983050848,-19.5,-28.818823529411766,-21.57700205338809,-30.014344262295083,-1.5404255319148936,-23.115909090909092,-27.333333333333332,-31.924180327868854,-25.634496919917865,-26.52330508474576,-24.972457627118644,-15.940451745379876,-22.325819672131146,-30.01440329218107,-20.020576131687243,-27.076433121019107,-22.992941176470588,-25.135523613963038,-19.462962962962962,-27.908045977011493,-20.572033898305083
Arkansas,-29.094427244582043,-13.643574828133262,-22.51335055986219,-17.851020408163265,-24.496236828901154,0.08565072302558398,-27.117916428162566,-19.24078879086663,-25.21904761904762,-21.63719512195122,-20.603366649132035,-19.04029304029304,-11.558441558441558,-15.90391459074733,-23.367304707708225,-15.757845188284518,-21.813424947145876,-17.065735892961023,-16.104615384615386,-10.906855049712192,-18.49820273184759,-15.083333333333334
California,-42.781582054309325,-25.685764914353218,-30.304202801867913,-25.077497129735935,-33.368059530623924,-1.9655172413793103,-27.645345155161493,-31.315970234688038,-31.166284403669724,-27.20964962665135,-27.845971563981042,-25.37900355871886,-19.52492836676218,-26.17438536306461,-34.357798165137616,-24.27413793103448,-28.879146919431278,-26.11892247043364,-24.98390804597701,-20.52580275229358,-29.143603133159267,-23.407801418439718
Colorado,-43.54597701149425,-22.202844311377245,-27.02457264957265,-22.242028985507247,-30.63655610444601,0.215962441314554,-22.130818619582666,-24.175953079178885,-28.55444839857651,-25.04447632711621,-27.203552923760178,-25.448784082535003,-20.015272727272727,-22.916787264833573,-34.30503597122302,-24.260393873085338,-28.543833580980685,-25.491721854304636,-22.064586357039186,-19.240822320117474,-23.711132437619963,-20.98138495904691
Connecticut,-47.077777777777776,-23.02962962962963,-29.28301886792453,-22.688172043010752,-31.27956989247312,-0.9333333333333333,-26.694444444444443,-26.6415770609319,-31.17562724014337,-24.017921146953405,-29.57777777777778,-19.525925925925925,-19.275985663082437,-21.25089605734767,-37.913978494623656,-19.49820788530466,-25.492592592592594,-18.012345679012345,-21.00716845878136,-13.577060931899641,-26.11026615969582,-19.38888888888889
Delaware,-43.791666666666664,-23.641666666666666,-24.887096774193548,-20.725806451612904,-28.419354838709676,1.1,-26.223214285714285,-25.951612903225808,-27.95967741935484,-22.137096774193548,-26.666666666666668,-20.55,-16.943548387096776,-22.129032258064516,-35.604838709677416,-21.346774193548388,-24.941666666666666,-20.935185185185187,-21.387096774193548,-15.806451612903226,-24.658333333333335,-20.233333333333334
Florida,-37.90868038133467,-17.95226003047232,-27.842486421243212,-22.89442815249267,-25.85986328125,-0.49437052200614123,-19.311617806731814,-22.431295843520783,-29.16990291262136,-24.349438750610055,-23.932997481108313,-21.005032712632108,-14.415475603745687,-19.3307240704501,-28.39578224619912,-17.599802371541504,-25.265553869499243,-21.209994385176866,-21.484848484848484,-16.254554406696208,-26.12406231967686,-20.358767054067712
Georgia,-35.8757778841551,-18.532234609791566,-24.265162721893493,-18.667923638934717,-24.051209772140005,-1.0709969788519638,-17.606656184486372,-21.386379928315414,-27.219432821943283,-22.127208480565372,-22.375606207565472,-20.139467312348668,-13.086790653314258,-16.241711732894426,-26.63569216106743,-18.130320420851266,-20.927568366592755,-18.587916553779465,-18.0687692672516,-14.27946449916328,-20.83642765685019,-17.547526673132882
Hawaii,-47.48,-25.886666666666667,-34.212765957446805,-26.954838709677418,-32.329032258064515,-2.7066666666666666,-29.564285714285713,-31.561290322580646,-34.096774193548384,-28.716129032258063,-31.973333333333333,-28.5,-18.90967741935484,-28.748387096774195,-39.75483870967742,-26.309677419354838,-33.2,-27.83703703703704,-32.825806451612905,-26.070967741935483,-36.943661971830984,-26.913333333333334
Idaho,-36.2341650671785,-13.039235412474849,-23.00633914421553,-17.523715415019762,-22.6,0.2336842105263158,-14.020674646354733,-16.49,-24.631681243926142,-20.05314960629921,-21.03531786074672,-17.84491440080564,-13.372319688109162,-13.943743937924346,-26.723800195886387,-14.154761904761905,-21.1799591002045,-15.451396648044692,-16.66369930761622,-11.46946946946947,-18.53835800807537,-16.060544904137235
Illinois,-37.36498731424429,-17.768110530246453,-23.16198347107438,-20.84557235421166,-26.904319885755086,0.6236559139784946,-20.790271132376397,-21.535010940919037,-25.784005712245627,-24.226623840114204,-23.20118782479584,-22.164887743835113,-15.457442955450924,-16.622885930190716,-30.69178082191781,-18.784227820372397,-24.34618263473054,-19.36659793814433,-17.57757685352622,-14.585339168490153,-19.71283783783784,-18.15521722985518
Indiana,-40.1155407899594,-16.608630952380953,-19.737749057619816,-17.173285198555956,-24.736141108711305,0.7547169811320755,-18.5644,-18.732583454281567,-23.770893371757925,-22.313626532083635,-20.694485842026825,-20.107566765578635,-14.990961677512654,-16.17560273479669,-29.01842485549133,-17.51087744742567,-21.4488955447398,-17.955014444903014,-16.337554269175108,-15.157742402315485,-17.170303605313094,-17.434766493699037
Iowa,-31.946779791747012,-12.32242806464328,-21.986225895316803,-18.10491929285165,-21.64326375711575,1.4530477759472817,-14.440951571792693,-16.90612725844462,-23.679984922728988,-21.293037490436113,-20.357339630066903,-18.979679562329036,-11.988354037267081,-12.711465451784358,-26.618973561430792,-14.004329004329005,-19.93722334004024,-16.08173076923077,-12.716101694915254,-10.573783359497645,-15.871508379888269,-15.553501180173091
