,state_code,cases
0,AK,4350779
1,AL,25199142
2,AR,15627896
3,AS,30
4,AZ,36608071
5,CA,150386021
6,CO,23842327
7,CT,12324716
8,DE,4455388
9,FL,110150351
10,GA,48458614
11,GU,595584
12,HI,2496699
13,IA,15188474
14,ID,9019709
15,IL,52614537
16,IN,31835244
17,KS,13541696
18,KY,23081558
19,LA,22963406
20,MA,26481620
21,MD,17199864
22,ME,3373576
23,MI,41138099
24,MN,25599183
25,MO,26858007
26,MP,13327
27,MS,15283585
28,MT,5562917
29,NC,45268610
30,ND,4676106
31,NE,8922656
32,NH,4424101
33,NJ,36687262
34,NM,8869444
35,NV,13846550
36,NY,79182161
37,OH,48455621
38,OK,19658755
39,OR,11399398
40,PA,49491027
41,PR,6605866
42,RI,5543857
43,SC,27263320
44,SD,4816181
45,TN,38067318
46,TX,128451768
47,UT,17272053
48,VA,28428334
49,VT,1351942
50,WA,22691615
51,WI,27959648
52,WV,8520184
53,WY,3236327
